KALLT,light chain 48 snowflakes,outdoor
KALLT,light chain with 10 stars,
KALLT,light stick,
KALLT,silhouette light,
KALLT,table lamp,
KALLT,wall decoration 40 bulbs,
KAMFER,plant glide,
KANELBULLAR,cinnamon bun,frozen
KANIST,vase,
KAPA,plant pot,
KÅRABODA,lantern for candle in a metal cup,
KARBY,rug,flatwoven
KARDEMUMMA,bowl,
KARDEMUMMA,plant pot,
KARDEMUMMA,series,
KARENS,vase,
KARIT,bedspread and cushion cover,
KARLSKRONA,chaise lounge,
KARLSTAD,2 chaise lounges + sofa,
KARLSTAD,2 chaise lounges and loveseat,
KARLSTAD,cover-sofabed,
KARLSTAD,cushion,
KARLSTAD,leg,
KARLSTAD,series,
KARLSTAD,series leather,
KARSTEN,swivel chair,
KASSETT,series,
KASSETT,storage rack for writing materials,
KASSETT,wastepaper basket,
KATTRUP,rug,flatwoven
KATTUDDEN,toiletry bag set of 2,
KAUSTBY,chair,
KAUSTBY,chair pad,
KAVALKAD,frying pan,
KAVALKAD,series,
KETTY RAND,cushion,
KETTY VÄRLD,cushion,
KETTY,pot holder,
KEX BALLERINA,cookies with chocolate,
KEX SINGOALLA,cookies with raspberry jam,
KIBÄK,rug,flatwoven
KILBY,bookcase,
KIVIK,chaise cover,
KIVIK,cover one-seat section,
KIVIK,loveseat cover,
KIVIK,series,
KIVIK,sofa cover,
KIVSTA,shade,
KLACK,tray,
KLADD PRICKAR,bib,
KLADD RANDIG,bib,
KLADD,baby bib,
KLAPPAR,series,
KLÄPPE,swivel chair,
KLAPPSTA,chair,
KLAVIATUR,wall uplight,
KLAVSTA,shade,
KLEMENS,pair of armrests,
KLEMENS,swivel chair,
KLINGSBO,coffee table,
KLINGSBO,series,
KLINGSBO,side table,
KLINTHULT,chair,
KLIPPAN,loveseat,
KLIPPAN,series,
KLIPPIG,handle,
KLISTRIG,place mat,
KLOBO,loveseat,
KLUBBO,coffee table,
KLUBBO,nesting tables,set of 2
KLUDD,noticeboard,
KNÄCKEBRÖD LEKSANDS,rye crispbread,round
KNAPPA,pendant lamp,
KNAPPA,series,
KNASTER,decorative stones,
KNATA,box with lid for paper,
KNIPSA,basket,
KNODD,bin with lid,
