SCP #,Title,rating,Classification,Type,Related GOI(s),Location Notes,Author,Leaked info,Humanoid or Structure,"Animal, Computer or Extradimensional",Autonomous or Cognitohazard),"Artifact, Location or Sentient",Summary,Gender,,Ethnicity / Origins
2505,Entry Creation Wizard,[N/A],[N/A],[N/A],,,,,,,,,,,,
2508,The Long Wait,[N/A],[N/A],[N/A],,,,,,,,,,,,
2827,Probably a Lobster,[N/A],[N/A],[N/A],,,,,,,,,,,,
2876,A Dozen Roses,[N/A],[N/A],[N/A],,,,,,,,,,,,
173,The Sculpture,2074,euclid,autonomous,,Moved to Site-19 1993.,,,,,autonomous,,,,,
87,The Stairwell,1392,euclid,location,,,,,,,,location,,,,
93,Red Sea Object,1096,euclid,extradimensional,,,,,,extradimensional,autonomous,artifact,,,,
55,[unknown],1057,keter,infohazard,,How Site 19 originally acquired SCP-055 is unknown.,,,,,,,,,,
1981,RONALD REAGAN CUT UP WHILE TALKING,1025,safe,humanoid,,,,,humanoid,,,,,,,
682,Hard-to-Destroy Reptile,955,keter,sentient,,,Dr Gears,Why didn't 682 slaughter Clef?,,,,sentient,,,,
426,I am a Toaster,943,euclid,infohazard,,,,,,,,,,,,
914,The Clockworks,902,safe,sapient,,,Dr Gears,Is 914 sentient?,,,,,,,,
1171,Humans Go Home,871,euclid,extradimensional,,,,,,extradimensional,,sentient / location,,,,
231,Special Personnel Requirements,854,keter,humanoid,,> within driving distance from Site-19.,,,humanoid,,,sentient,,,,
2521,●●|●●●●●|●●|●,853,keter,sentient,,,,,,,,sentient,,,,
902,The Final Countdown,848,keter,cognitohazard,,,,,,,cognitohazard,,,,,
895,Camera Disruption,828,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
294,The Coffee Machine,790,euclid,appliance,,,,,,,,,,,,
96,"The ""Shy Guy""",758,euclid,humanoid,,,,,humanoid,,cognitohazard,,,unknown,,unknown
106,The Old Man,723,keter,humanoid,,,Dr Gears,What is 106 doing to the people he takes?,humanoid,extradimensional,,sentient,,,,
2000,Deus Ex Machina,711,thaumiel,structure,,,,,structure,,,,,,,
1733,Season Opener,677,safe,electronic,,,,,,,,,,,,
2317,A Door to Another World,650,keter,humanoid,,,,,humanoid,extradimensional,,sentient,,,,
1048,Builder Bear,647,keter,toy,,,,,,,,,,,,
701,The Hanged King's Tragedy,641,euclid,humanoid,,,,,humanoid,,,,,,,
1000,Bigfoot,632,keter,humanoid,Serpents Hand,,,,humanoid,,,sentient,,,,
1370,Pesterbot,630,safe,sentient,,,,,,,,sentient,,,,
993,Bobble the Clown,626,safe,cognitohazard,,,,,,,cognitohazard,,,,,
49,Plague Doctor,603,euclid,humanoid,,,,,humanoid,,,sentient,,unknown,,unknown
140,An Incomplete Chronicle,580,keter,autonomous,,,,,,,autonomous,,,,,
1893,The Minotaur's Tale,580,euclid,sentient,,,,,,,,sentient,,,,
85,Hand-drawn ''Cassy'',576,safe,humanoid,,,,,humanoid,,autonomous,sentient,,female,,Foundation Research
1983,Doorway to Nowhere,575,neutralized,humanoid,,,,,humanoid,extradimensional,,,,,,
354,The Red Pool,566,keter,location,,,,,,,,location,,,,
2998,"Anomalous Transmission, 2485 MHz",561,euclid,infohazard,,,,,,,,,,,,
2,"The ""Living"" Room",560,euclid,structure,,,,,structure,,,,human-eating self-furnishing appartment,,,
1437,A Hole to Another Place,545,safe,structure,,,,,structure,extradimensional,,location,,,,
2006,Too Spooky,545,keter,autonomous,,,,,,,autonomous,sentient,,,,
999,The Tickle Monster,539,safe,sentient,,,,,,,,sentient,,,,
1867,A Gentleman,537,safe,animal,,,,,,animal,,,,,,
348,A Gift from Dad,534,safe,container,,is to be kept in a standard locker at Site-19.,,,,,,,,,,
1440,The Old Man from Nowhere,522,keter,humanoid,,,,,humanoid,,,sentient,,,,
990,Dream Man,515,keter,humanoid,,,,,humanoid,,,sentient,,,,
1322,Glory Hole,512,keter,humanoid,,,,,humanoid,extradimensional,,,,,,
28,Knowledge,508,safe,location,,,,,,,,location,,,,
871,Self-Replacing Cake,508,keter,food,,,,,,,,,,,,
504,Critical Tomatoes,507,safe,autonomous,,,,,,,autonomous,,,,,
1425,Star Signals,494,safe,cognitohazard,Fifthist,,,,,,cognitohazard,,,,,
586,Inscribable Object,489,safe,infohazard,,,,,,,,,,,,
610,The Flesh that Hates,489,keter,location,,,,,,,,location,,,,
507,Reluctant Dimension Hopper,480,safe,humanoid,,,,,humanoid,extradimensional,,sentient,,,,
186,To End All Wars,467,euclid,location,,,,,,,,location,,,,
76,Able,460,keter,humanoid,,,,,humanoid,extradimensional,,sentient,,Male,,Semetic
2030,LA U GH IS F UN,458,keter,humanoid,,,,,humanoid,,,sentient,,,,
35,Possessive Mask,444,keter,cognitohazard,,,,,,,cognitohazard,sentient,,,,
1342,To the Makers of Music,437,euclid,visual,,,,,,,,,,,,
261,Pan-Dimensional Vending,433,safe,ectoentropic,,,Dr Gears,What the hell is 261?,,,,,,,,
4,The 12 Rusty Keys and the Door,427,euclid,structure,,,,,structure,,,,"various portals, one of wich houses a foundation site",,,
1230,A Hero is Born,427,safe,document,,,,,,,,,,,,
1193,Buried Giant,422,safe,humanoid,,,,,humanoid,,,,,,,
342,A Ticket to Ride,419,euclid,visual,,,,,,,,,,,,
962,Tower of Babble,416,euclid,structure,,,,,structure,,,location,,,,
184,The Architect,414,euclid,spacetime,,,,,,,,,,,,
1295,Meg's Diner,411,keter,humanoid,,,,,humanoid,,,sentient,,,,
1470,Telepathic Spider,409,safe,sentient,,,,,,,,sentient,,,,
1958,Magic Bus,404,safe,extraterrestrial,Fifthist,,,,,,,,,,,
1609,The Remains of a Chair,402,euclid,autonomous,Global Occult C.,,,,,,autonomous,sentient,,,,
1057,Absence of Shark,399,safe,animal,Are We Cool Yet?,,,,,animal,,,,,,
882,A Machine,394,euclid,autonomous,Broken God,,,,,,autonomous,,,,,
1545,Larry the Loving Llama,389,safe,clothing,,,,,,,,,,,,
48,The Cursed SCP Number,388,unclassed,mathematical,,,,,,,,,,,,
1959,The Lost Cosmonaut,387,euclid,humanoid,,,,,humanoid,,,,,,,
835,Expunged Data Released,384,keter,transfiguration,,,,,,,,,,,,
15,Pipe Nightmare,383,euclid,structure,,,,,structure,,,sentient,,,,
1025,Encyclopedia of Diseases,382,safe,cognitohazard,,,,,,,cognitohazard,,,,,
2682,The Blind Idiot,381,neutralized,extradimensional,,,,,,extradimensional,,sentient,,,,
662,Butler's Hand Bell,380,safe,humanoid,,,,,humanoid,,,,,male,,white
1875,Antique Chess Computer,379,euclid,computer,,,,,,computer,,sentient,,,,
1173,The Islamic Republic of Eastern Samothrace,378,euclid,auditory,,,,,,,,,,,,
1055,Bugsy,373,keter,humanoid,,,,,humanoid,animal,,sentient,,,,
963,Immortality,364,euclid,mind-affecting,,,,,,,,,,,,
1548,The Hateful Star,344,keter,extraterrestrial,,is currently uncontainable due to its status as a stellar body.,,,,,,,,,,
